LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Combined,1267239,84678,1023,46,1451,1280,1165
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Mathematics,1267239,84799,1019,47,490,427,391
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Reading,1267239,84686,1021,46,486,434,392
2010-11,611,Bibb County,303,William S. Hutchings Career Center,All Students,Writing,1267239,84548,1028,44,474,419,382
2010-11,611,Bibb County,386,Southwest High School,All Students,Combined,1267239,84678,1023,110,1451,1280,1128
2010-11,611,Bibb County,386,Southwest High School,All Students,Mathematics,1267239,84799,1019,109,490,427,379
2010-11,611,Bibb County,386,Southwest High School,All Students,Reading,1267239,84686,1021,110,486,434,378
2010-11,611,Bibb County,386,Southwest High School,All Students,Writing,1267239,84548,1028,110,474,419,371
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Combined,1267239,84678,90,90,1451,1547,1547
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Mathematics,1267239,84799,90,90,490,524,524
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Reading,1267239,84686,90,90,486,519,519
2010-11,612,Bleckley County,105,Bleckley County High School,All Students,Writing,1267239,84548,91,91,474,504,504
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Combined,1267239,84678,122,122,1451,1361,1361
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Mathematics,1267239,84799,123,123,490,448,448
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Reading,1267239,84686,122,122,486,464,464
2010-11,613,Brantley County,1050,Brantley County High School,All Students,Writing,1267239,84548,121,121,474,448,448
2010-11,614,Brooks County,110,Brooks County High School,All Students,Combined,1267239,84678,59,59,1451,1316,1316
2010-11,614,Brooks County,110,Brooks County High School,All Students,Mathematics,1267239,84799,59,59,490,423,423
2010-11,614,Brooks County,110,Brooks County High School,All Students,Reading,1267239,84686,59,59,486,446,446
2010-11,614,Brooks County,110,Brooks County High School,All Students,Writing,1267239,84548,59,59,474,447,447
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Combined,1267239,84678,508,422,1451,1490,1505
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Mathematics,1267239,84799,511,424,490,504,512
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Reading,1267239,84686,508,421,486,500,504
2010-11,615,Bryan County,182,Richmond Hill High School,All Students,Writing,1267239,84548,506,421,474,486,489
2010-11,615,Bryan County,502,Bryan County High School,All Students,Combined,1267239,84678,508,86,1451,1490,1417
2010-11,615,Bryan County,502,Bryan County High School,All Students,Mathematics,1267239,84799,511,87,490,504,465
2010-11,615,Bryan County,502,Bryan County High School,All Students,Reading,1267239,84686,508,87,486,500,481
2010-11,615,Bryan County,502,Bryan County High School,All Students,Writing,1267239,84548,506,85,474,486,470
2010-11,616,Bulloch County,203,New Southeast Bulloch High School,All Students,Combined,1267239,84678,392,120,1451,1408,1495
2010-11,616,Bulloch County,203,New Southeast Bulloch High School,All Students,Mathematics,1267239,84799,393,120,490,474,501
2010-11,616,Bulloch County,203,New Southeast Bulloch High School,All Students,Reading,1267239,84686,392,119,486,474,502
2010-11,616,Bulloch County,203,New Southeast Bulloch High School,All Students,Writing,1267239,84548,392,121,474,460,492
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Combined,1267239,84678,392,226,1451,1408,1395
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Mathematics,1267239,84799,393,226,490,474,471
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Reading,1267239,84686,392,226,486,474,469
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Writing,1267239,84548,392,225,474,460,455
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined,1267239,84678,392,47,1451,1408,1245
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Mathematics,1267239,84799,393,47,490,474,421
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading,1267239,84686,392,47,486,474,429
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing,1267239,84548,392,46,474,460,395
2010-11,617,Burke County,288,Burke County High School,All Students,Combined,1267239,84678,167,167,1451,1267,1267
